epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1703.08,1.24047,0.8273,0.88796,0.50248,0.3726,0.38519,0.22746,1.24752,0.88596,0.89186,0.005743,0.005743,0.005743
45,1740.24,1.23425,0.8215,0.88751,0.50288,0.38026,0.39171,0.23145,1.24497,0.88612,0.8907,0.005644,0.005644,0.005644
46,1777.78,1.2382,0.81993,0.88815,0.4992,0.37873,0.38885,0.23094,1.24332,0.88251,0.89122,0.005545,0.005545,0.005545
47,1813.96,1.23107,0.81749,0.88727,0.49754,0.3826,0.39347,0.23422,1.23794,0.87695,0.8895,0.005446,0.005446,0.005446
48,1852.57,1.23238,0.81654,0.88663,0.50374,0.38424,0.3938,0.23495,1.23741,0.87428,0.89064,0.005347,0.005347,0.005347
49,1890.7,1.2253,0.80938,0.88525,0.506,0.37952,0.39329,0.23443,1.23454,0.87612,0.89022,0.005248,0.005248,0.005248
50,1928.85,1.22023,0.80907,0.88608,0.49954,0.38304,0.3925,0.23446,1.2344,0.87241,0.89044,0.005149,0.005149,0.005149
51,1965.46,1.21853,0.8061,0.88414,0.49884,0.38369,0.39022,0.23311,1.23523,0.88162,0.88882,0.00505,0.00505,0.00505
52,2007.13,1.21814,0.79827,0.88452,0.50378,0.38658,0.39328,0.23477,1.22977,0.87264,0.88843,0.004951,0.004951,0.004951
53,2047.8,1.21919,0.80192,0.88505,0.50571,0.38626,0.39419,0.23378,1.23725,0.8705,0.89043,0.004852,0.004852,0.004852
54,2088.57,1.2137,0.79692,0.88202,0.50882,0.38756,0.39754,0.23695,1.22918,0.86318,0.88691,0.004753,0.004753,0.004753
55,2126.81,1.20886,0.78998,0.88305,0.49869,0.38898,0.39383,0.23392,1.23709,0.87293,0.88927,0.004654,0.004654,0.004654
56,2164.92,1.21081,0.78671,0.88114,0.49822,0.38944,0.39782,0.23678,1.22654,0.86591,0.887,0.004555,0.004555,0.004555
57,2202.59,1.20483,0.78576,0.8807,0.50643,0.39014,0.39789,0.23691,1.23156,0.86742,0.8869,0.004456,0.004456,0.004456
58,2243.72,1.199,0.77769,0.8805,0.51696,0.38232,0.39663,0.23652,1.22679,0.86776,0.8871,0.004357,0.004357,0.004357
59,2282.8,1.19956,0.77555,0.88048,0.51063,0.38779,0.39983,0.23773,1.22537,0.86678,0.88686,0.004258,0.004258,0.004258
60,2321.31,1.20196,0.7809,0.8802,0.52657,0.38763,0.40376,0.2419,1.22428,0.86099,0.88725,0.004159,0.004159,0.004159
61,2360.02,1.19222,0.77063,0.87938,0.51416,0.39149,0.40248,0.24035,1.22408,0.86136,0.88651,0.00406,0.00406,0.00406
62,2398.28,1.19497,0.77097,0.87901,0.50646,0.39324,0.40159,0.23972,1.22869,0.86127,0.88764,0.003961,0.003961,0.003961
63,2435.9,1.1878,0.76492,0.87853,0.51948,0.38596,0.40053,0.23831,1.22563,0.86694,0.88658,0.003862,0.003862,0.003862
64,2473.96,1.18938,0.76377,0.87855,0.5198,0.38935,0.40166,0.23868,1.22743,0.86632,0.88693,0.003763,0.003763,0.003763
65,2510.58,1.18817,0.75868,0.87693,0.50637,0.39059,0.39975,0.23926,1.22562,0.86353,0.88701,0.003664,0.003664,0.003664
66,2547.62,1.18788,0.76032,0.87773,0.51122,0.39123,0.4015,0.24034,1.22393,0.86296,0.88743,0.003565,0.003565,0.003565
67,2586.79,1.18585,0.75539,0.87712,0.51699,0.38845,0.40005,0.23901,1.22207,0.86321,0.88631,0.003466,0.003466,0.003466
68,2624.96,1.18425,0.74976,0.8757,0.51339,0.39027,0.39787,0.23791,1.22258,0.8623,0.88603,0.003367,0.003367,0.003367
69,2661.91,1.17138,0.74401,0.87576,0.51485,0.39156,0.40214,0.23949,1.21873,0.86095,0.88539,0.003268,0.003268,0.003268
